VOLFGANG,"Chair, chrome plated, Isunda gray",403.471.98,"",http://www.ikea.com/PIAimages/0271857_PE413659_S3.JPG
GUNDE,"Folding chair, white",602.177.99,K Hagberg/M Hagberg,http://www.ikea.com/PIAimages/0239249_PE378635_S3.JPG
GUNDE,"Folding chair, black",002.177.97,K Hagberg/M Hagberg,http://www.ikea.com/PIAimages/0239247_PE378636_S3.JPG
NISSE,"Folding chair, orange",302.462.08,Lisa Norinder,http://www.ikea.com/PIAimages/0243012_PE382260_S3.JPG
NISSE,"Folding chair, black",301.150.66,"",http://www.ikea.com/PIAimages/74031_PE190778_S3.JPG
NISSE,"Folding chair, high gloss white, chrome plated",101.150.67,Lisa Norinder,http://www.ikea.com/PIAimages/74032_PE190779_S3.JPG
TERJE,"Folding chair, white",802.224.41,Lars Norinder,http://www.ikea.com/PIAimages/0140865_PE300863_S3.JPG
TERJE,"Folding chair, red",402.256.77,Lars Norinder,http://www.ikea.com/PIAimages/0140863_PE300862_S3.JPG
TERJE,"Folding chair, black",002.224.40,Lars Norinder,http://www.ikea.com/PIAimages/0140854_PE300857_S3.JPG
LEIFARNE,"Chair, white, Broringe chrome plated",791.278.07,Mia Lagerman,http://www.ikea.com/PIAimages/0376675_PE553888_S3.JPG
LEIFARNE,"Chair, light blue, Broringe chrome plated",891.278.02,Mia Lagerman,http://www.ikea.com/PIAimages/0376673_PE553886_S3.JPG
LEIFARNE,"Chair, white, Ernfrid birch",591.278.08,Mia Lagerman,http://www.ikea.com/PIAimages/0376676_PE553889_S3.JPG
LEIFARNE,"Chair, light blue, Ernfrid birch",991.278.06,Mia Lagerman,http://www.ikea.com/PIAimages/0376674_PE553887_S3.JPG
LEIFARNE,"Armchair, white, Dietmar chrome plated",391.278.09,Mia Lagerman,http://www.ikea.com/PIAimages/0376678_PE553891_S3.JPG
LEIFARNE,"Armchair, light blue, Dietmar chrome plated",191.278.05,Mia Lagerman,http://www.ikea.com/PIAimages/0376677_PE553890_S3.JPG
SVENBERTIL,"Chair, birch, Broringe chrome plated",191.278.10,Mia Lagerman,http://www.ikea.com/PIAimages/0376679_PE553892_S3.JPG
SVENBERTIL,"Chair, birch, Ernfrid birch",991.278.11,Mia Lagerman,http://www.ikea.com/PIAimages/0376680_PE553893_S3.JPG
SVENBERTIL,"Armchair, birch, Dietmar chrome plated",791.278.12,Mia Lagerman,http://www.ikea.com/PIAimages/0376681_PE553894_S3.JPG
